               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04545,            0.065375,            0.016454,             0.66839,             0.60378,             0.68696,             0.44977,            0.041354,            0.037882,            0.010597,              0.0937,              0.0007,              0.0007
                   1,            0.043832,            0.061739,             0.01722,             0.74818,             0.62591,             0.72511,             0.48528,            0.040448,            0.036721,           0.0090742,            0.086485,           0.0014851,           0.0014851
                   2,            0.044753,            0.070135,            0.015995,             0.77564,             0.64523,             0.74823,             0.48488,            0.040198,            0.035836,           0.0080152,            0.079254,           0.0022545,           0.0022545
                   3,            0.044053,            0.062052,            0.013615,             0.80177,             0.64992,             0.76254,             0.50382,             0.04026,            0.035575,            0.007282,            0.072008,           0.0030079,           0.0030079
                   4,             0.04456,             0.06083,            0.013258,             0.77715,             0.69644,             0.77761,             0.51251,            0.040147,            0.034855,           0.0066223,            0.064746,           0.0037456,           0.0037456
                   5,            0.045248,            0.056127,            0.013657,             0.78843,             0.70928,             0.79427,             0.49775,            0.042081,            0.033193,            0.006042,            0.057467,           0.0044673,           0.0044673
                   6,            0.045294,            0.050487,            0.013322,              0.7625,             0.72005,             0.78267,             0.46987,            0.043041,            0.032989,           0.0058048,            0.050173,           0.0051733,           0.0051733
                   7,            0.047564,            0.060176,            0.010299,             0.77002,             0.70824,             0.79036,                0.49,            0.043177,            0.032445,           0.0052395,            0.042863,           0.0058634,           0.0058634
                   8,            0.047667,            0.058401,            0.012378,             0.75464,             0.72711,             0.79674,             0.48192,            0.045139,            0.032388,           0.0049986,            0.035538,           0.0065377,           0.0065377
                   9,            0.046362,             0.05476,            0.010047,             0.75325,             0.77808,             0.81256,             0.51052,            0.043702,            0.031707,           0.0048658,            0.028196,           0.0071961,           0.0071961
                  10,            0.047973,            0.062345,            0.010158,             0.72539,              0.7848,             0.80325,             0.47321,            0.046905,            0.030334,           0.0046598,            0.020839,           0.0078387,           0.0078387
                  11,            0.047571,            0.055015,           0.0097603,             0.75481,             0.77866,             0.80711,             0.52541,             0.04321,            0.029802,            0.004663,            0.013465,           0.0084655,           0.0084655
                  12,            0.045842,            0.049758,            0.011643,             0.77672,             0.75836,             0.81855,             0.52971,            0.042607,            0.029082,           0.0044076,            0.008812,            0.008812,            0.008812
                  13,            0.046873,            0.055316,             0.01104,             0.82345,             0.77451,             0.83234,             0.54365,            0.040946,            0.028894,           0.0045018,            0.008812,            0.008812,            0.008812
                  14,            0.044698,            0.048244,           0.0097892,             0.78495,             0.78386,             0.82881,             0.53161,            0.042014,            0.028716,           0.0044341,            0.008713,            0.008713,            0.008713
                  15,            0.045034,            0.051397,           0.0093066,             0.77817,             0.80104,             0.83397,             0.52544,            0.041993,             0.02874,           0.0042824,            0.008614,            0.008614,            0.008614
                  16,              0.0464,            0.048847,            0.009682,             0.82808,             0.65673,             0.77232,             0.47822,            0.041922,            0.035156,           0.0081129,            0.008515,            0.008515,            0.008515
                  17,             0.04374,            0.048686,            0.010186,               0.791,             0.79227,             0.83733,             0.54512,            0.039626,            0.029586,           0.0046633,            0.008416,            0.008416,            0.008416
                  18,            0.043741,            0.049208,           0.0097343,             0.84841,             0.79786,             0.87264,             0.57495,            0.038496,            0.028345,           0.0041647,            0.008317,            0.008317,            0.008317
                  19,            0.042053,            0.049127,            0.010609,             0.86979,             0.77585,             0.86378,             0.56305,            0.041343,            0.027995,           0.0039231,            0.008218,            0.008218,            0.008218
                  20,            0.043129,            0.046837,           0.0096954,             0.82417,                0.83,             0.87325,             0.55147,            0.040012,            0.027684,           0.0039046,            0.008119,            0.008119,            0.008119
                  21,            0.045686,            0.045928,           0.0089369,             0.82258,             0.82566,             0.87406,             0.56024,            0.039762,            0.027815,           0.0038038,             0.00802,             0.00802,             0.00802
                  22,            0.043349,            0.049761,            0.009288,             0.85252,             0.79894,             0.88729,             0.57999,            0.038331,             0.02698,           0.0035989,            0.007921,            0.007921,            0.007921
                  23,            0.042124,            0.046002,           0.0080686,             0.83406,             0.82229,             0.88611,             0.56576,            0.039434,            0.026903,           0.0037234,            0.007822,            0.007822,            0.007822
                  24,            0.041321,            0.048677,           0.0091369,               0.804,             0.81018,              0.8738,             0.56473,            0.039165,            0.026618,           0.0038033,            0.007723,            0.007723,            0.007723
                  25,            0.043206,            0.040394,           0.0088834,             0.85908,             0.77824,             0.88079,             0.56509,            0.040809,            0.026865,           0.0035645,            0.007624,            0.007624,            0.007624
                  26,            0.043325,            0.050053,           0.0077648,             0.81037,             0.82459,             0.89069,              0.5997,            0.037722,            0.026359,           0.0035527,            0.007525,            0.007525,            0.007525
                  27,            0.041868,            0.051965,           0.0074005,              0.8273,             0.81991,             0.89238,             0.60606,              0.0368,            0.026434,           0.0033994,            0.007426,            0.007426,            0.007426
                  28,            0.043409,            0.049936,            0.009017,             0.82204,             0.82556,             0.88783,             0.59217,            0.037138,            0.025872,            0.003263,            0.007327,            0.007327,            0.007327
                  29,             0.04019,            0.045869,            0.008058,             0.77264,             0.84346,             0.88271,             0.59314,            0.036741,             0.02557,           0.0032904,            0.007228,            0.007228,            0.007228
                  30,            0.041691,            0.044969,           0.0070918,             0.81374,              0.8587,             0.89061,             0.59719,            0.036649,              0.0254,            0.003329,            0.007129,            0.007129,            0.007129
                  31,            0.042045,            0.050306,           0.0076242,             0.80409,             0.85407,             0.89995,             0.59049,            0.036457,            0.024778,           0.0032784,             0.00703,             0.00703,             0.00703
                  32,            0.040886,            0.044651,           0.0080092,             0.85757,             0.83499,             0.91401,             0.60159,            0.036399,            0.024955,           0.0033076,            0.006931,            0.006931,            0.006931
                  33,            0.041631,            0.047891,           0.0073251,             0.86506,              0.8397,             0.91626,             0.60912,            0.035243,            0.024436,           0.0032252,            0.006832,            0.006832,            0.006832
                  34,            0.041871,            0.047197,           0.0075616,             0.90244,             0.81616,             0.91258,             0.60845,            0.035811,            0.024402,           0.0032167,            0.006733,            0.006733,            0.006733
                  35,            0.040359,            0.047276,           0.0074285,             0.88938,             0.82905,             0.91256,             0.61273,            0.035389,            0.024219,             0.00314,            0.006634,            0.006634,            0.006634
                  36,            0.041076,            0.045462,           0.0069712,             0.89638,              0.8354,             0.91626,             0.62903,            0.034558,            0.024032,           0.0030574,            0.006535,            0.006535,            0.006535
                  37,            0.039901,            0.045113,           0.0069868,             0.89988,              0.8265,             0.91895,             0.63151,            0.034839,            0.023785,            0.003034,            0.006436,            0.006436,            0.006436
                  38,            0.038943,             0.04491,           0.0063702,             0.89274,              0.8483,             0.91673,             0.63395,            0.033989,              0.0237,           0.0030583,            0.006337,            0.006337,            0.006337
                  39,            0.039963,            0.044224,           0.0065592,             0.88946,             0.85871,             0.92323,             0.64645,            0.032976,            0.023916,           0.0030135,            0.006238,            0.006238,            0.006238
                  40,            0.037706,            0.043691,           0.0074988,             0.89095,             0.84552,             0.91322,             0.64444,             0.03347,            0.023711,           0.0029346,            0.006139,            0.006139,            0.006139
                  41,            0.039608,            0.042066,           0.0071845,             0.86727,             0.87111,             0.91131,             0.65215,            0.032916,             0.02354,           0.0028718,             0.00604,             0.00604,             0.00604
                  42,            0.038569,             0.04287,           0.0066258,             0.88182,             0.85799,              0.9246,              0.6401,            0.032947,             0.02371,           0.0028446,            0.005941,            0.005941,            0.005941
                  43,            0.037202,            0.043665,           0.0062537,             0.84971,             0.88063,             0.90121,             0.64102,            0.033673,            0.023525,            0.002805,            0.005842,            0.005842,            0.005842
                  44,            0.038772,            0.044274,           0.0071189,             0.84172,             0.89127,             0.92592,             0.65818,             0.03261,            0.023324,           0.0028074,            0.005743,            0.005743,            0.005743
                  45,            0.037592,            0.036918,           0.0067485,             0.87773,             0.89374,              0.9329,             0.65858,            0.032069,            0.022939,           0.0028105,            0.005644,            0.005644,            0.005644
                  46,            0.037497,            0.041704,           0.0059518,             0.85705,             0.89462,             0.92595,             0.65543,            0.032628,             0.02277,           0.0027839,            0.005545,            0.005545,            0.005545
                  47,            0.035531,            0.041033,           0.0065298,             0.86079,             0.89682,              0.9248,              0.6582,            0.031699,            0.022483,           0.0027604,            0.005446,            0.005446,            0.005446
                  48,             0.03736,            0.038633,           0.0059715,             0.85442,             0.88616,             0.91668,             0.65498,            0.032807,            0.022476,           0.0027614,            0.005347,            0.005347,            0.005347
                  49,            0.035856,            0.039057,           0.0061288,             0.89181,              0.8726,              0.9213,              0.6575,            0.032478,            0.022205,           0.0027426,            0.005248,            0.005248,            0.005248
                  50,            0.037395,            0.037738,           0.0066384,             0.90124,             0.86714,             0.92671,             0.67149,            0.032223,            0.022326,           0.0027548,            0.005149,            0.005149,            0.005149
                  51,            0.037629,            0.043347,            0.006772,              0.9109,             0.87665,             0.93298,             0.67421,            0.031184,            0.022189,           0.0027214,             0.00505,             0.00505,             0.00505
                  52,            0.036782,            0.040737,           0.0059528,             0.92102,             0.87001,              0.9325,             0.67681,            0.031965,            0.021841,            0.002659,            0.004951,            0.004951,            0.004951
                  53,            0.035596,            0.037847,           0.0061527,             0.92047,             0.88269,             0.93748,             0.68317,            0.030869,            0.021564,           0.0026386,            0.004852,            0.004852,            0.004852
                  54,            0.036554,            0.036774,           0.0073117,              0.9122,             0.88706,             0.93601,             0.67577,            0.030446,             0.02154,           0.0025958,            0.004753,            0.004753,            0.004753
                  55,            0.036148,            0.039782,           0.0064508,             0.91338,              0.8848,             0.93893,             0.67386,            0.030817,            0.021672,           0.0025247,            0.004654,            0.004654,            0.004654
                  56,            0.035673,            0.040023,           0.0064313,             0.90129,             0.86508,             0.92142,             0.67278,            0.031002,            0.021781,           0.0024922,            0.004555,            0.004555,            0.004555
                  57,            0.035848,            0.035231,            0.006509,             0.90903,             0.84978,             0.91806,             0.67295,            0.031002,            0.021657,           0.0024803,            0.004456,            0.004456,            0.004456
                  58,            0.034733,            0.043355,           0.0067415,             0.92854,             0.86258,             0.93113,             0.68945,            0.029379,            0.021246,           0.0024294,            0.004357,            0.004357,            0.004357
                  59,            0.034933,            0.036211,           0.0054084,             0.87771,             0.91924,              0.9448,             0.69364,            0.029651,            0.021243,           0.0023772,            0.004258,            0.004258,            0.004258
                  60,            0.034943,             0.03725,           0.0060257,             0.90288,             0.88043,             0.94339,             0.69584,            0.029766,            0.021188,           0.0023294,            0.004159,            0.004159,            0.004159
                  61,            0.034307,            0.040798,           0.0056402,              0.9052,             0.89437,             0.95058,             0.70235,            0.029592,            0.021063,           0.0023115,             0.00406,             0.00406,             0.00406
                  62,            0.036132,            0.037838,           0.0065074,             0.91331,             0.89344,             0.95157,              0.7149,            0.029183,             0.02095,           0.0023288,            0.003961,            0.003961,            0.003961
                  63,            0.034069,            0.039617,           0.0050496,             0.93245,             0.87493,             0.94577,               0.705,            0.028891,            0.020819,           0.0023378,            0.003862,            0.003862,            0.003862
                  64,            0.034739,            0.037911,           0.0049911,             0.91978,             0.88323,             0.94747,             0.71157,            0.028309,            0.020552,           0.0023479,            0.003763,            0.003763,            0.003763
                  65,            0.033647,            0.040625,           0.0055804,             0.90582,               0.895,             0.94519,             0.71548,            0.028348,            0.020494,           0.0023367,            0.003664,            0.003664,            0.003664
                  66,            0.032004,            0.035363,           0.0053376,             0.90319,             0.90604,             0.94801,             0.70546,            0.028111,              0.0205,           0.0023414,            0.003565,            0.003565,            0.003565
                  67,            0.032965,            0.040559,           0.0055245,             0.89365,             0.90648,             0.95473,             0.71915,            0.027981,            0.020402,           0.0023579,            0.003466,            0.003466,            0.003466
                  68,            0.032885,            0.037266,           0.0056069,             0.88785,             0.90765,             0.94972,             0.72181,            0.027974,            0.020354,           0.0023437,            0.003367,            0.003367,            0.003367
                  69,            0.032753,            0.041295,           0.0056575,             0.91345,             0.89731,             0.95719,              0.7306,            0.027327,             0.02028,           0.0023171,            0.003268,            0.003268,            0.003268
                  70,            0.033256,            0.045755,           0.0053055,             0.92996,             0.90113,             0.95791,              0.7262,            0.026875,            0.020148,           0.0022827,            0.003169,            0.003169,            0.003169
                  71,            0.032407,             0.03927,           0.0049282,             0.93346,             0.88755,             0.95066,             0.72944,            0.027119,            0.020134,           0.0022547,             0.00307,             0.00307,             0.00307
                  72,            0.033359,            0.039939,           0.0053351,             0.88096,              0.9293,             0.95112,             0.73167,            0.027261,            0.019946,           0.0022475,            0.002971,            0.002971,            0.002971
                  73,            0.031597,            0.039285,           0.0055205,             0.89351,             0.91652,             0.95271,             0.73048,            0.027206,            0.019785,            0.002226,            0.002872,            0.002872,            0.002872
                  74,            0.032927,            0.038921,           0.0053437,             0.89625,             0.93017,             0.95992,             0.74414,            0.026475,            0.019536,           0.0022045,            0.002773,            0.002773,            0.002773
                  75,             0.03266,            0.041635,           0.0052926,             0.88335,             0.93007,              0.9576,             0.74238,            0.026305,            0.019405,            0.002176,            0.002674,            0.002674,            0.002674
                  76,            0.032751,            0.034712,           0.0049683,             0.89079,             0.92694,             0.95285,             0.73894,             0.02671,            0.019405,           0.0021479,            0.002575,            0.002575,            0.002575
                  77,            0.031449,            0.035625,           0.0046557,              0.8846,             0.92644,             0.95119,             0.74691,            0.026228,            0.019325,           0.0021352,            0.002476,            0.002476,            0.002476
                  78,            0.030986,            0.037381,           0.0047392,             0.88545,              0.9247,             0.94988,             0.74619,            0.026447,            0.019291,           0.0021102,            0.002377,            0.002377,            0.002377
                  79,             0.03243,            0.038246,           0.0050204,             0.88384,             0.92547,              0.9481,             0.74664,            0.025934,            0.019136,           0.0020928,            0.002278,            0.002278,            0.002278
                  80,            0.029419,            0.032102,            0.004967,             0.88939,             0.92054,             0.94533,               0.742,            0.026095,            0.019162,           0.0020869,            0.002179,            0.002179,            0.002179
                  81,            0.031866,            0.039838,           0.0048011,             0.89104,             0.92485,             0.94941,             0.74659,            0.025551,            0.018975,            0.002066,             0.00208,             0.00208,             0.00208
