               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11139,            0.079395,            0.059983,             0.00679,             0.34603,            0.011732,           0.0029447,            0.094353,            0.066031,             0.05378,              0.0757,              0.0027,              0.0027
                   1,            0.087748,             0.08415,            0.047158,              0.4599,             0.11474,            0.034372,            0.010073,            0.088794,            0.099415,            0.048386,            0.050446,           0.0054456,           0.0054456
                   2,            0.078885,            0.073039,            0.040132,             0.75652,             0.11359,            0.098672,            0.032957,            0.077799,            0.060379,            0.040256,            0.025136,           0.0081357,           0.0081357
                   3,            0.074808,             0.07585,            0.037177,             0.68377,             0.17233,             0.14811,            0.053983,            0.071413,            0.063585,            0.035799,            0.009703,            0.009703,            0.009703
                   4,            0.070629,            0.073134,             0.03532,             0.71233,             0.17099,             0.18439,            0.067214,            0.065782,            0.057416,            0.030887,            0.009703,            0.009703,            0.009703
                   5,            0.063882,              0.0698,            0.029597,             0.72393,             0.24608,             0.21199,            0.075696,            0.059202,            0.055403,            0.028445,            0.009604,            0.009604,            0.009604
                   6,            0.061052,            0.067946,            0.026905,             0.57534,             0.26633,             0.22383,            0.087224,            0.061839,             0.05288,            0.024746,            0.009505,            0.009505,            0.009505
                   7,            0.057674,             0.06703,            0.025711,              0.2901,             0.43434,             0.32584,             0.14786,            0.050824,            0.055561,            0.023254,            0.009406,            0.009406,            0.009406
                   8,             0.05598,            0.069794,            0.022775,             0.30991,              0.4412,             0.29631,              0.1229,            0.056388,            0.051831,            0.022217,            0.009307,            0.009307,            0.009307
                   9,            0.053763,            0.066905,            0.022075,             0.39726,              0.4459,             0.36328,             0.15443,            0.048568,            0.053638,            0.020535,            0.009208,            0.009208,            0.009208
                  10,            0.052256,            0.065478,            0.020941,             0.58854,             0.40155,             0.40502,             0.17084,            0.050721,            0.052373,            0.019087,            0.009109,            0.009109,            0.009109
